iter	Passed	Remaining
0	57	57727
1	58	29042
2	58	19453
3	58	14672
4	59	11798
5	59	9869
6	59	8491
7	60	7464
8	60	6669
9	60	6032
10	61	5506
11	61	5064
12	61	4690
13	62	4368
14	62	4088
15	62	3843
16	62	3627
17	62	3435
18	63	3265
19	63	3110
20	63	2970
21	63	2842
22	64	2726
23	64	2622
24	64	2525
25	64	2434
26	65	2350
27	65	2272
28	65	2200
29	65	2132
30	66	2068
31	66	2009
32	66	1953
33	66	1901
34	67	1851
35	67	1805
36	67	1761
37	67	1718
38	68	1677
39	68	1639
40	68	1602
41	68	1567
42	68	1534
43	69	1502
44	69	1472
45	69	1443
46	69	1416
47	70	1389
48	70	1364
49	70	1340
50	70	1316
51	70	1293
52	71	1272
53	71	1251
54	71	1232
55	71	1213
56	72	1194
57	72	1176
58	72	1159
59	73	1144
60	73	1130
61	73	1115
62	73	1099
63	74	1084
64	74	1072
65	74	1059
66	75	1045
67	75	1032
68	75	1019
69	75	1006
70	75	994
71	76	982
72	76	970
73	76	959
74	76	948
75	77	937
76	77	927
77	77	916
78	77	906
79	78	897
80	78	887
81	78	879
82	78	868
83	78	860
84	79	851
85	79	843
86	79	834
87	79	827
88	80	819
89	80	811
90	80	804
91	80	796
92	80	788
93	81	781
94	81	774
95	81	767
96	81	760
97	81	754
98	82	747
99	82	745
100	82	738
101	83	732
102	83	726
103	83	721
104	84	716
105	84	710
106	84	706
107	84	701
108	85	696
109	85	691
110	85	686
111	85	681
112	86	676
113	86	671
114	86	666
115	86	661
116	86	656
117	87	652
118	87	647
119	87	642
120	87	638
121	88	633
122	88	629
123	88	626
124	88	622
125	89	618
126	89	614
127	89	610
128	89	607
129	90	603
130	90	599
131	90	595
132	90	592
133	91	588
134	91	584
135	91	581
136	91	577
137	91	574
138	92	571
139	92	567
140	92	564
141	92	560
142	93	557
143	93	554
144	93	551
145	93	548
146	93	544
147	94	541
148	94	538
149	94	535
150	94	533
151	95	530
152	95	527
153	95	524
154	95	522
155	96	520
156	96	518
157	96	516
158	97	514
159	97	511
160	97	508
161	97	505
162	98	503
163	98	501
164	98	498
165	98	496
166	98	493
167	99	491
168	99	489
169	99	486
170	99	484
171	100	482
172	100	479
173	100	477
174	100	475
175	101	473
176	101	471
177	101	469
178	101	467
179	102	465
180	102	463
181	102	461
182	102	459
183	103	457
184	103	455
185	103	453
186	103	451
187	104	449
188	104	448
189	104	446
190	105	445
191	105	443
192	105	441
193	105	439
194	106	437
195	106	435
196	106	434
197	106	432
198	106	430
199	107	428
200	107	427
201	107	425
202	107	423
203	108	421
204	108	420
205	108	418
206	108	416
207	109	415
208	109	413
209	109	411
210	109	410
211	109	408
212	110	407
213	110	405
214	110	404
215	110	402
216	111	401
217	111	399
218	111	398
219	111	396
220	112	395
221	112	393
222	112	392
223	112	390
224	113	389
225	113	387
226	113	386
227	113	385
228	114	383
229	114	382
230	114	381
231	114	379
232	114	378
233	115	376
234	115	375
235	115	374
236	115	372
237	116	371
238	116	370
239	116	369
240	116	367
241	117	366
242	117	365
243	117	364
244	117	362
245	117	361
246	118	360
247	118	359
248	118	357
249	118	356
250	119	355
251	119	354
252	119	353
253	119	352
254	120	351
255	120	349
256	120	348
257	120	347
258	121	346
259	121	345
260	121	344
261	121	343
262	122	342
263	122	340
264	122	339
265	122	338
266	122	337
267	123	336
268	123	335
269	123	334
270	123	333
271	124	332
272	124	331
273	124	330
274	124	329
275	125	327
276	125	326
277	125	325
278	125	324
279	125	323
280	126	322
281	126	321
282	126	320
283	126	319
284	127	318
285	127	317
286	127	316
287	127	315
288	127	314
289	128	313
290	128	312
291	128	311
292	128	311
293	129	310
294	129	309
295	129	308
296	129	307
297	130	306
298	130	305
299	130	304
300	131	304
301	131	303
302	131	302
303	131	301
304	131	300
305	132	299
306	132	298
307	132	298
308	132	297
309	133	296
310	133	295
311	133	294
312	133	293
313	134	293
314	134	292
315	134	291
316	134	290
317	135	289
318	135	289
319	135	288
320	135	287
321	136	286
322	136	286
323	136	285
324	136	284
325	137	283
326	137	282
327	137	282
328	137	281
329	138	280
330	138	279
331	138	279
332	138	278
333	139	277
334	139	276
335	139	275
336	139	275
337	140	274
338	140	273
339	140	272
340	140	271
341	140	271
342	141	270
343	141	269
344	141	269
345	141	268
346	142	267
347	142	266
348	142	266
349	142	265
350	143	264
351	143	263
352	143	263
353	143	262
354	144	261
355	144	261
356	144	260
357	145	260
358	145	259
359	145	258
360	145	258
361	146	257
362	146	256
363	146	256
364	146	255
365	147	254
366	147	253
367	147	253
368	147	252
369	147	251
370	148	251
371	148	250
372	148	249
373	148	249
374	149	248
375	149	247
376	149	247
377	149	246
378	149	245
379	150	244
380	150	244
381	150	243
382	150	243
383	151	242
384	151	241
385	151	241
386	151	240
387	152	240
388	152	239
389	152	238
390	152	238
391	153	237
392	153	236
393	153	236
394	153	235
395	153	234
396	154	234
397	154	233
398	154	233
399	154	232
400	155	231
401	155	231
402	155	230
403	155	230
404	156	229
405	156	229
406	156	228
407	157	228
408	157	227
409	157	226
410	157	226
411	158	225
412	158	225
413	158	224
414	159	224
415	159	223
416	159	223
417	159	222
418	160	221
419	160	221
420	160	220
421	160	220
422	160	219
423	161	219
424	161	218
425	161	217
426	161	217
427	162	216
428	162	216
429	162	215
430	162	214
431	163	214
432	163	213
433	163	213
434	163	212
435	163	212
436	164	211
437	164	211
438	164	210
439	164	209
440	165	209
441	165	208
442	165	208
443	166	208
444	166	207
445	167	207
446	167	207
447	167	206
448	167	206
449	168	205
450	168	205
451	168	204
452	169	204
453	169	203
454	169	203
455	169	202
456	170	202
457	170	201
458	170	201
459	171	200
460	171	200
461	171	199
462	171	199
